意向学员微信号,删除来源微信号,删除绑定日期,参考来源微信号,参考绑定日期,规则
xiaoxuan998125,y236575876,2026/04/14 17:28:08,,2026/04/14 09:28:01,同意向学员+已报名+晚8小时(±1分钟)删除
ShineOnXin,jch81931,2026/04/14 17:55:25,,2026/04/14 09:55:19,同意向学员+已报名+晚8小时(±1分钟)删除
wxid_ulg0nur7do3122,modoing,2026/04/14 22:52:02,,2026/04/14 14:51:57,同意向学员+已报名+晚8小时(±1分钟)删除
fm_qipodu,cartoonabc_Johnny,2026/04/15 01:16:43,,2026/04/14 17:16:38,同意向学员+已报名+晚8小时(±1分钟)删除
wxid_ow8jid9jo33s22,dudu440440,2026/04/15 16:39:31,,2026/04/15 08:39:25,同意向学员+已报名+晚8小时(±1分钟)删除
wxid_2pnq2hlfe7di22,Claire113399,2026/04/15 16:59:43,,2026/04/15 08:59:37,同意向学员+已报名+晚8小时(±1分钟)删除
kjx5203137,dmb1479,2026/04/16 01:50:41,,2026/04/15 17:50:37,同意向学员+已报名+晚8小时(±1分钟)删除
wxid_15gi1hutzdms21,cartoonabc_Johnny,2026/04/16 18:12:15,,2026/04/16 10:12:11,同意向学员+已报名+晚8小时(±1分钟)删除
wxid_tr1j0a58bn3y22,guangyao1911,2026/04/16 22:06:48,,2026/04/16 14:06:43,同意向学员+已报名+晚8小时(±1分钟)删除
--liuyitong,whywhy1212,2026/04/17 02:39:16,,2026/04/16 18:39:11,同意向学员+已报名+晚8小时(±1分钟)删除
ly0127hh,chenzi227,2026/04/17 17:33:55,,2026/04/17 09:33:50,同意向学员+已报名+晚8小时(±1分钟)删除
abcd420680698,gointorose,2026/04/17 18:00:34,,2026/04/17 10:00:30,同意向学员+已报名+晚8小时(±1分钟)删除
doudoukirty,baicai4027,2026/04/17 20:34:34,,2026/04/17 12:34:28,同意向学员+已报名+晚8小时(±1分钟)删除
halohavefun,y236575876,2026/04/17 22:15:10,,2026/04/17 14:15:04,同意向学员+已报名+晚8小时(±1分钟)删除
sara246800,m137535208,2026/04/17 23:25:58,,2026/04/17 15:25:52,同意向学员+已报名+晚8小时(±1分钟)删除
